RamanShift_cm-1,Intensity_corrected,PseudoVoigt_fit
1330.63,53.12909508781445,36.15091765602746
1331.71,55.293416145321544,38.26560665612939
1332.79,47.298861669837834,40.56777925618107
1333.86,54.75544020094344,43.05548606664379
1334.94,51.98316023091934,45.80070604542492
1336.02,56.88203019728985,48.81080138562223
1337.09,62.70205848559772,52.08791529368027
1338.17,79.31325342450236,55.732788935487285
1339.24,65.27562327996225,59.72337493207884
1340.32,69.49917623862143,64.18810014891824
1341.39,69.593920421848,69.10674231098845
1342.47,76.32986388151016,74.64584804343798
1343.54,89.32701459988243,80.79022662782862
1344.62,101.89538048290888,87.76034288156333
1345.69,101.15496934720545,95.55280914802084
1346.77,122.65578890749362,104.46878425360546
1347.84,114.29784677733915,114.53477372425564
1348.92,135.42115044765205,126.18801032309764
1349.99,143.5357072950435,139.5395183907619
1351.06,168.94152456070356,155.13531699500024
1352.14,176.688609342287,173.78946083089866
1353.21,201.29696856850592,196.0476722560563
1354.28,243.46660899138328,223.29697421838418
1355.36,279.01753716164535,257.5287704001721
1356.43,312.12975938655154,300.1691206209365
1357.5,359.65328169434315,353.81154211437763
1358.58,423.5381098011312,421.3801484014557
1359.65,497.8042490633736,503.19004250241807
1360.72,591.7917044139899,599.8507997847992
1361.79,703.2704802880955,708.9657709777604
1362.86,814.0605805290149,824.851525922167
1363.93,927.4720082768006,938.1630466528915
1365.01,1043.4547658574459,1037.2838023716317
1366.08,1101.4088546694709,1106.786008650496
1367.15,1143.3542750679412,1136.5298355659704
1368.22,1118.8110263065137,1121.323041774646
1369.29,1062.33910649549,1063.85233088242
1370.36,983.3485126263613,973.6704489560171
1371.43,862.169240628278,863.9174822863329
1372.5,761.841285447043,747.6779214897291
1373.57,644.1546411662885,635.4629999120966
1374.64,534.8793011078058,534.1856847258202
1375.71,447.1552579492309,447.27126023022544
1376.78,367.8525038333205,375.3891391944672
1377.85,312.75103045567585,317.3940926334796
1378.92,272.44082914404567,271.2079688212278
1379.99,212.79189091342732,234.49680423789354
1381.06,190.13420650637704,205.09814316566707
1382.12,169.15776645265782,181.4266665913963
1383.19,146.59256109189892,161.67547020068054
1384.26,131.47858059457212,145.08991034855936
1385.33,115.32581498455534,130.9580286589495
1386.4,109.31425415424837,118.77497216094616
1387.47,81.62388788072462,108.17650412785325
1388.53,89.65470583174329,98.9730713334052
1389.6,86.27669759343962,90.78381240865943
1390.67,78.83985266229388,83.53530584861365
1391.74,70.62416044850988,77.09255972478886
1392.8,66.43961028345052,71.39481167907698
1393.87,61.78619142785442,66.24198273240803
1394.94,46.473893076020886,61.612308853745155
1396.0,40.59270436046177,57.4763196006968
1397.07,48.692614367215356,53.69979344753284
1398.13,50.09361214172577,50.30590717183331
1399.2,57.675686680745684,47.189441000951476
