Region,Label,Center_eV,FWHM_eV,Area_fraction,Eta,DeltaE_eV,PC1,PC2
B1s,B-def,189.87,1.3000000000000114,0.2315,0.47369318724245396,-0.5,-0.4607317494816592,-0.626945799175502
B1s,B–N,190.37,1.0999999999999943,0.5727,1.1058937174293946e-18,0.0,-1.3836599746074614,0.7761740982522662
B1s,B-ox,191.09,1.299999999999983,0.1958,0.8930962784524898,0.7199999999999989,0.6767548722162753,-0.7239283922639296
N1s,N-def,397.7,2.1000000000000227,0.1785,0.07046775433165521,-0.30000000000001137,-0.5455539132975241,-0.23738721456493142
N1s,N–B,398.0,1.25,0.6855,0.004463002837617341,0.0,-1.4571727629700006,1.1751184899105116
N1s,N-ox,398.85,1.4499999999999886,0.136,0.9874403821543486,0.8500000000000227,0.9922328145638476,-0.8904805834674014
C1s,C–C,284.59,1.5,0.7161,0.23863800617464642,0.0,-1.079504521371347,1.2088903047950308
C1s,C–O,285.5,0.8500000000000227,0.0967,0.33715180130206995,0.910000000000025,-0.049897698869352435,-0.7972223672153613
C1s,C=O,286.35,1.4499999999999886,0.0923,0.7200797557304432,1.7600000000000477,1.0742839137020748,-0.659569234145676
C1s,O–C=O,288.43,6.0,0.0949,0.9999999999999999,3.840000000000032,4.11708238933115,1.1348315503571522
O1s,O-lat,530.37,0.40000000000009095,0.0041,8.910803390388307e-14,-2.230000000000018,-1.9198405681259954,-1.7279917021890638
O1s,O-ads,532.6,1.9500000000000455,0.7565,0.03666997478160091,0.0,-1.2277687442408058,1.607007336589158
O1s,H2O/O,533.34,2.5499999999999545,0.2394,0.9999999999999856,0.7400000000000091,1.2637759431507982,-0.23849648688225272
