Region,Label,Center_eV,FWHM_eV,Area_fraction,Eta,DeltaE_eV,PC1,PC2
B1s,B-def,189.87,1.3000000000000114,0.2315,0.4736931913136578,-0.5,-0.46073164004080835,-0.626945795521423
B1s,B–N,190.37,1.0999999999999943,0.5727,1.469931536466372e-18,0.0,-1.3836597067317424,0.7761741474924778
B1s,B-ox,191.09,1.299999999999983,0.1958,0.8930962839705505,0.7199999999999989,0.6767549153325279,-0.7239283348478361
N1s,N-def,397.7,2.1000000000000227,0.1785,0.07046769410921346,-0.30000000000001137,-0.5455538033337,-0.23738745921742327
N1s,N–B,398.0,1.25,0.6855,0.004463000730206845,0.0,-1.4571724524190004,1.1751185916560265
N1s,N-ox,398.85,1.4499999999999886,0.136,0.9874404084333523,0.8500000000000227,0.9922328628498538,-0.8904805696929065
C1s,C–C,284.59,1.5,0.7161,0.23863804204243116,0.0,-1.079504165767214,1.2088904505443134
C1s,C–O,285.5,0.8500000000000227,0.0967,0.3371504720046842,0.910000000000025,-0.04989945121544546,-0.7972216949491806
C1s,C=O,286.35,1.4499999999999886,0.0923,0.720079503914703,1.7600000000000477,1.0742836074695432,-0.6595692202344504
C1s,O–C=O,288.43,6.0,0.0949,0.9999999999999999,3.840000000000032,4.117082671820541,1.1348307977192642
O1s,O-lat,530.37,0.40000000000009095,0.0041,8.89385826566053e-14,-2.230000000000018,-1.9198405306734756,-1.7279917848682222
O1s,O-ads,532.6,1.9500000000000455,0.7565,0.036669978458681,0.0,-1.227768363502203,1.6070073982609978
O1s,H2O/O,533.34,2.5499999999999545,0.2394,0.9999999999999856,0.7400000000000091,1.2637760562111233,-0.23849652634163857
