domain,descriptor,value,unit,source_path,note
TEM,max_patch_weight,0.442719,-,data/processed/TEM/TEM_descriptors.csv,
TEM,mean_LOI_0_100,46.839999999999996,0-100,data/processed/TEM/TEM_descriptors.csv,
TEM,weighted_Delta_q_FFT,4.416790408790409,a.u.,data/processed/TEM/TEM_descriptors.csv,
TEM,weighted_LOI_0_100,72.61816761816763,0-100,data/processed/TEM/TEM_descriptors.csv,
Raman,asymmetry_ratio_right_over_left,0.9453746937254222,-,data/processed/Raman/raman_fit_summary.csv,
Raman,fit_center_cm-1,1367.3254113078813,cm^-1,data/processed/Raman/raman_fit_summary.csv,
Raman,fwhm_cm-1,12.849999999999907,cm^-1,data/processed/Raman/raman_fit_summary.csv,
Raman,mean_abs_d2I_domega2,7.740708003104039,a.u.,data/processed/Raman/raman_local_descriptors_and_segmentation.csv,
XPS,defect_area_fraction_sum,0.41000000000000003,-,data/processed/XPS/XPS_corrected_13peak_descriptor_matrix.csv,
XPS,oxidized_area_fraction_sum,1.0924,-,data/processed/XPS/XPS_corrected_13peak_descriptor_matrix.csv,
XPS,pc1_mean,-1.1956247957501685e-16,-,data/processed/XPS/XPS_corrected_13peak_descriptor_matrix.csv,
XPS,pc2_span,3.3349990387781965,-,data/processed/XPS/XPS_corrected_13peak_descriptor_matrix.csv,
CV,QKPCA1_span,0.5959126866416763,-,data/processed/CV/CV_QKPCA_coordinates.csv,
CV,max_capacitive_fraction,0.6688686990717142,-,data/processed/CV/CV_fractional_capacitive.csv,
CV,mean_b_smooth,0.5837525668165402,-,data/processed/CV/CV_b_values.csv,
CV,peak_current_vs_sqrt_scan_slope,1.6428782585542285,mA/(mV s^-1)^0.5,data/processed/CV/CV_peak_summary.csv,
GCD,Csp_max_F_g-1,82.08268396494205,F g^-1,data/processed/GCD/tables/hBN_GCD_fit_summary_J1_to_J5.csv,
GCD,Csp_mean_F_g-1,75.5958088398684,F g^-1,data/processed/GCD/tables/hBN_GCD_fit_summary_J1_to_J5.csv,
GCD,IRdrop_max_mV,46.69696801056996,mV,data/processed/GCD/tables/hBN_GCD_fit_summary_J1_to_J5.csv,
GCD,Rs_mean_ohm,0.00960647683768564,Ohm,data/processed/GCD/tables/hBN_GCD_fit_summary_J1_to_J5.csv,
EIS,R1_ohm,33.99267145911862,Ohm,data/processed/EIS/classical_fit/hBN_EIS_final_fit_parameters.csv,
EIS,Rs_ohm,1.329376845309407,Ohm,data/processed/EIS/classical_fit/hBN_EIS_final_fit_parameters.csv,
EIS,alpha1,0.8743619410393955,-,data/processed/EIS/classical_fit/hBN_EIS_final_fit_parameters.csv,
EIS,max_discrete_relative_deviation_percent,6.800043021019323,%,data/processed/EIS/quantum_branches/hBN_parameter_deviations.csv,
