y_px,x_px
191,141
175,143
161,148
203,154
154,111
92,178
138,117
116,139
103,194
133,211
94,156
112,157
118,191
187,158
137,191
184,177
163,129
84,143
98,213
147,136
152,186
213,189
168,181
112,106
116,211
164,202
145,152
175,218
202,175
140,166
128,155
208,207
159,223
172,235
228,187
196,191
197,125
104,126
158,164
87,193
228,138
169,106
207,135
84,117
120,123
82,215
109,176
124,94
125,227
68,143
230,116
234,167
202,107
217,171
136,88
189,233
239,150
218,126
75,179
79,159
181,124
222,202
94,228
241,207
68,201
125,175
235,223
105,247
123,242
58,184
154,94
91,251
220,103
208,227
250,170
63,164
207,82
154,241
100,91
191,84
191,212
197,245
230,63
182,202
218,225
163,74
255,148
185,51
180,70
196,69
79,86
43,184
247,115
61,110
141,243
251,98
135,65
56,128
76,237
65,216
123,44
102,69
168,55
242,81
